word,syllables
a'lam,a'-lam
a'lo,a'-lo
a'lochi,a'-lo-chi
a'lochilik,a'-lo-chi-lik
a'lohazrat,a'-lo-haz-rat
a'mo,a'-mo
a'mol,a'-mol
a'moliy,a'-mo-liy
a'moliy-tadrijiy,a'-mo-liy-tad-ri-jiy
a'rof,a'-rof
a'yon,a'-yon
a'zam,a'-zam
a'zamiyat,a'-za-mi-yat
a'zamlik,a'-zam-lik
a'zo,a'-zo
a'zolik,a'-zo-lik
a'zoyi badan,a'-zo-yi -ba-dan
ab,ab
ab'od,ab-'od
abad,a-bad
abadiy,a-ba-diy
abadiy-boqiy,a-ba-diy-bo-qiy
abadiya,a-ba-di-ya
abadiyan,a-ba-di-yan
abadiyat,a-ba-di-yat
abadiylash,a-ba-diy-lash
abadiylashmoq,a-ba-diy-lash-moq
abadiylashtirilmoq,a-ba-diy-lash-ti-ril-moq
abadiylashtirish,a-ba-diy-lash-ti-rish
abadiylashtirmoq,a-ba-diy-lash-tir-moq
abadiylashtiruv,a-ba-diy-lash-ti-ruv
abadiylashtiruvchi,a-ba-diy-lash-ti-ruv-chi
abadiylashuv,a-ba-diy-la-shuv
abadiylik,a-ba-diy-lik
abadiyot,a-ba-di-yot
badjahl,bad-jahl
badjahllik,bad-jahl-lik
badjins,bad-jins
badjinslik,bad-jins-lik
badkarda,bad-kar-da
badkardalik,bad-kar-da-lik
badkir,bad-kir
badkirdor,bad-kir-dor
badkirdorlik,bad-kir-dor-lik
badkor,bad-kor
badkorlik,bad-kor-lik
badkorona,bad-ko-ro-na
badlahja,bad-lah-ja
badlanmoq,bad-lan-moq
badmast,bad-mast
badmastlik,bad-mast-lik
badmehr,bad-mehr
badminton,bad-min-ton
badmuomala,bad-mu-o-ma-la
badmuomalalik,bad-mu-o-ma-la-lik
badnafas,bad-na-fas
badnafs,bad-nafs
badnafslashish,bad-nafs-la-shish
badnafslashmoq,bad-nafs-lash-moq
badnafslashuv,bad-nafs-la-shuv
badnafslik,bad-nafs-lik
badnajod,bad-na-jod
badnamo,bad-na-mo
badnamolik,bad-na-mo-lik
badnazar,bad-na-zar
badnazarlik,bad-na-zar-lik
badniyat,bad-ni-yat
badniyatlik,bad-ni-yat-lik
badnom,bad-nom
badnomlanish,bad-nom-la-nish
badnomlashmoq,bad-nom-lash-moq
badnomlik,bad-nom-lik
badnomus,bad-no-mus
badnusxa,bad-nus-xa
badnusxalik,bad-nus-xa-lik
badoq,ba-doq
badoye,ba-do-ye
badqadam,bad-qa-dam
badqadamlik,bad-qa-dam-lik
badqiliq,bad-qi-liq
badqiliqlik,bad-qi-liq-lik
badqovoq,bad-qo-voq
badqovoqlik,bad-qo-voq-lik
badr,badr
badraf,bad-raf
badraftor,bad-raf-tor
badraftorlik,bad-raf-tor-lik
badrafxona,bad-raf-xo-na
badrang,bad-rang
badranglik,bad-rang-lik
badrashk,bad-rashk
badrashklik,bad-rashk-lik
badro‘y,bad-ro‘y
badro‘ylik,bad-ro‘y-lik
badshukuh,bad-shu-kuh
badshukuhlik,bad-shu-kuh-lik
badsifat,bad-si-fat
badsifatlik,bad-si-fat-lik
badsurat,bad-su-rat
badsuxan,bad-su-xan
badsuxanlik,bad-su-xan-lik
badta'm,bad-ta'm
badta'mlik,bad-ta'm-lik
badtar,bad-tar
badtar va battar,bad-tar -va -bat-tar
badtarin,bad-ta-rin
badtarin va battarin,bad-ta-rin -va -bat-ta-rin
badtarlashmoq,bad-tar-lash-moq
badtarroq,bad-tar-roq
badxat,bad-xat
badxatlik,bad-xat-lik
badxayol,bad-xa-yol
badxayollik,bad-xa-yol-lik
badxob,bad-xob
badxoblik,bad-xob-lik
badxoh,bad-xoh
badxohlik,bad-xoh-lik
badxo‘,bad-xo‘
badxo‘r,bad-xo‘r
badxo‘rlashmoq,bad-xo‘r-lash-moq
badxo‘rlik,bad-xo‘r-lik
badxo‘y,bad-xo‘y
badxo‘ylik,bad-xo‘y-lik
badxulq,bad-xulq
badxulqlik,bad-xulq-lik
badxulqona,bad-xul-qo-na
badxumor,bad-xu-mor
badya,bad-ya
badzabon,bad-za-bon
badzabonlik,bad-za-bon-lik
badzod,bad-zod
badzodlik,bad-zod-lik
badzot,bad-zot
bafarmon,ba-far-mon
bafurja,ba-fur-ja
bagaj,ba-gaj
bagajchi,ba-gaj-chi
bagajchilik,ba-gaj-chi-lik
bagajnik,ba-gaj-nik
bagajxona,ba-gaj-xo-na
bagermeyster-sardor,ba-ger-meys-ter-sar-dor
bagermeyster-ustoz,ba-ger-meys-ter-us-toz
baggi,bag-gi
bagrationit,bag-ra-ti-o-nit
bagrationlar,bag-ra-ti-on-lar
bagratiylar,bag-ra-tiy-lar
bag‘-bag‘,bag‘-bag‘
bag‘-bug‘,bag‘-bug‘
bag‘al,ba-g‘al
bag‘ara,ba-g‘a-ra
bag‘ayrat,ba-g‘ay-rat
bag‘ayratlik,ba-g‘ay-rat-lik
bag‘az,ba-g‘az
bag‘baqa,bag‘-ba-qa
bag‘baqador,bag‘-ba-qa-dor
bag‘dash,bag‘-dash
bag‘dodi,bag‘-do-di
bag‘dodiy,bag‘-do-diy
bag‘dodlik,bag‘-dod-lik
bag‘illamoq,ba-g‘il-la-moq
bag‘illash,ba-g‘il-lash
bag‘illashmoq,ba-g‘il-lash-moq
bag‘illashuv,ba-g‘il-la-shuv
bag‘illatish,ba-g‘il-la-tish
bag‘illatmoq,ba-g‘il-lat-moq
bag‘illov,ba-g‘il-lov
bag‘ir,ba-g‘ir
bag‘ir-bug‘ur,ba-g‘ir-bu-g‘ur
bag‘ira-bug‘ur,ba-g‘i-ra--bu-g‘ur
bag‘iriov,ba-g‘i-ri-ov
bag‘irlab,ba-g‘ir-lab
bag‘irlamoq,ba-g‘ir-la-moq
bag‘irlash,ba-g‘ir-lash
bag‘irlashmoq,ba-g‘ir-lash-moq
bag‘irli,ba-g‘ir-li
bag‘ish,ba-g‘ish
bag‘ishlama,ba-g‘ish-la-ma
bag‘ishlamoq,ba-g‘ish-la-moq
bag‘ishlanilmoq,ba-g‘ish-la-nil-moq
bag‘ishlanma,ba-g‘ish-lan-ma
bag‘ishlanmoq,ba-g‘ish-lan-moq
bag‘ishlattirmoq,ba-g‘ish-lat-tir-moq
bag‘ishlov,ba-g‘ish-lov
bag‘ishlovchi,ba-g‘ish-lov-chi
bag‘iz,ba-g‘iz
bag‘lon,bag‘-lon
bag‘onali,ba-g‘o-na-li
bag‘ovat,ba-g‘o-vat
bag‘ovatchi,ba-g‘o-vat-chi
bag‘ovatchilik,ba-g‘o-vat-chi-lik
bag‘oyat,ba-g‘o-yat
bag‘ribiyronlik,bag‘-ri-biy-ron-lik
bag‘rikenglik,bag‘-ri-keng-lik
bag‘riqora,bag‘-ri-qo-ra
bag‘riqurt,bag‘-ri-qurt
bag‘ritosh,bag‘-ri-tosh
bag‘ritoshlik,bag‘-ri-tosh-lik
bah-bah,bah-bah
baham,ba-ham
bahamjihat,ba-ham-ji-hat
bahamjihatlik,ba-ham-ji-hat-lik
bahaq,ba-haq
bahaqq,ba-haqq
bahaqqi,ba-haq-qi
bahar,ba-har
baharhol,ba-har-hol
baharkayf,ba-har-kayf
baharnav,ba-har-nav
bahavo,ba-ha-vo
bahavolik,ba-ha-vo-lik
bahay,ba-hay
bahaybat,ba-hay-bat
bahaybatlik,ba-hay-bat-lik
bahayo,ba-ha-yo
bahbahlamoq,bah-bah-la-moq
bahimmat,ba-him-mat
bahmaniylar,bah-ma-niy-lar
baho,ba-ho
baho-munosabat,ba-ho--mu-no-sa-bat
bahochi,ba-ho-chi
bahochilik,ba-ho-chi-lik
bahodir,ba-ho-dir
bahodirlar,ba-ho-dir-lar
bahodirlarcha,ba-ho-dir-lar-cha
bahodirlik,ba-ho-dir-lik
bahodirona,ba-ho-di-ro-na
bahoiy,ba-ho-iy
bahoiylar,ba-ho-iy-lar
bahoiylik,ba-ho-iy-lik
bahol,ba-hol
baholamoq,ba-ho-la-moq
baholanish,ba-ho-la-nish
baholanmoq,ba-ho-lan-moq
baholash,ba-ho-lash
baholashmoq,ba-ho-lash-moq
baholatish,ba-ho-la-tish
baholattirmoq,ba-ho-lat-tir-moq
baholi,ba-ho-li
baholi qudrat,ba-ho-li -qud-rat
baholov,ba-ho-lov
baholovchi,ba-ho-lov-chi
baholovchilik,ba-ho-lov-chi-lik
bahona,ba-ho-na
bahonachi,ba-ho-na-chi
bahonachilik,ba-ho-na-chi-lik
bahonali,ba-ho-na-li
bahonasiz,ba-ho-na-siz
bahonatalab,ba-ho-na-ta-lab
bahor,ba-hor
bahorgi,ba-hor-gi
bahori,ba-ho-ri
bahorikor,ba-ho-ri-kor
bahorikorlik,ba-ho-ri-kor-lik
bahoriston,ba-ho-ris-ton
bahoriy,ba-ho-riy
bahormisol,ba-hor-mi-sol
bahosiz,ba-ho-siz
bahosizlik,ba-ho-siz-lik
bahoy,ba-hoy
bahr,bahr
bahra,bah-ra
bahralanganlik,bah-ra-la-ngan-lik
bahralanish,bah-ra-la-nish
bahralanmoq,bah-ra-lan-moq
bahralantirmoq,bah-ra-lan-tir-moq
bahralanuv,bah-ra-la-nuv
bahralanuvchi,bah-ra-la-nuv-chi
bahramand,bah-ra-mand
bahramandlik,bah-ra-mand-lik
bahramandona,bah-ra-man-do-na
bahrasiz,bah-ra-siz
bahrasizlik,bah-ra-siz-lik
bahravar,bah-ra-var
bahribayt,bah-ri-bayt
bahridil,bah-ri-dil
bahrin,bah-rin
bahs,bahs
bahs-munozara,ba-hs-mu-no-za-ra
bahschi,bahs-chi
bahschilik,bahs-chi-lik
bahsdosh,bahs-dosh
bahsdoshlik,bahs-dosh-lik
bahslasha-bahslasha,bahs-la-sha--bahs-la-sha
bahslashlsh,bahs-lashlsh
bahslashmaslik,bahs-lash-mas-lik
bahslashmoq,bahs-lash-moq
bahslashtirmoq,bahs-lash-tir-moq
bahslashuv,bahs-la-shuv
bahslashuvchi,bahs-la-shuv-chi
bahslashuvchilik,bahs-la-shuv-chi-lik
bahstalab,bahs-ta-lab
bahuzur,ba-hu-zur
bahuzurlanmoq,ba-hu-zur-lan-moq
bahuzurlik,ba-hu-zur-lik
bailqfurush,ba-ilq-fu-rush
baittifoq,ba-it-ti-foq
baittifoqlik,ba-it-ti-foq-lik
bajamlochi,ba-jam-lo-chi
bajargizmoq,ba-jar-giz-moq
bajarilganlik,ba-ja-ril-gan-lik
bajarilish,ba-ja-ri-lish
bajarilmoq,ba-ja-ril-moq
bajariq,ba-ja-riq
bajariqli,ba-ja-riq-li
bajariqsiz,ba-ja-riq-siz
bajarish,ba-ja-rish
bajarishlik,ba-ja-rish-lik
bajarishmoq,ba-ja-rish-moq
bajarmoq,ba-jar-moq
bajarmoqlik,ba-jar-moq-lik
bajarolmoq,ba-ja-rol-moq
bajartirish,ba-jar-ti-rish
bajartirmoq,ba-jar-tir-moq
bajartiruv,ba-jar-ti-ruv
bajartmoq,ba-jart-moq
bajaruvchilik,ba-ja-ruv-chi-lik
bajaruvhan,ba-ja-ruv-han
bajo,ba-jo
bajon,ba-jon
bajonidil,ba-jo-ni-dil
bak,bak
bak-degazator,bak-de-ga-za-tor
bak-kollektor,bak-kol-lek-tor
baka-bang,ba-ka--bang
baka-bum,ba-ka--bum
bakalavr,ba-ka-lavr
bakalavriat,ba-ka-lav-ri-at
bakelit,ba-ke-lit
baken,ba-ken
bakenbard,ba-ken-bard
bakor,ba-kor
bakorat,ba-ko-rat
bakoratlik,ba-ko-rat-lik
bakovul,ba-ko-vul
bakovulboshi,ba-ko-vul-bo-shi
bakovulboshilik,ba-ko-vul-bo-shi-lik
bakovullik,ba-ko-vul-lik
bakovulxona,ba-ko-vul-xo-na
bakra,bak-ra
bakrabaliq,bak-ra-ba-liq
bakrasimonlar,bak-ra-si-mon-lar
baktar,bak-tar
bakterial,bak-te-ri-al
bakteriofag,bak-te-ri-o-fag
bakteriofagiya,bak-te-ri-o-fa-gi-ya
bakteriofaglar,bak-te-ri-o-fag-lar
bakteriofobiya,bak-te-ri-o-fo-bi-ya
bakterioliz,bak-te-ri-o-liz
bakteriolizinlar,bak-te-ri-o-li-zin-lar
bakteriolog,bak-te-ri-o-log
bakteriologik,bak-te-ri-o-lo-gik
bakteriologiya,bak-te-ri-o-lo-gi-ya
bakterioplankton,bak-te-ri-op-lank-ton
bakterioskopiya,bak-te-ri-os-ko-pi-ya
bakteriostat,bak-te-ri-os-tat
bakteriostatik,bak-te-ri-os-ta-tik
bakteriostaz,bak-te-ri-os-taz
bakterioterapiya,bak-te-ri-o-te-ra-pi-ya
bakteriotropinlar,bak-te-ri-ot-ro-pin-lar
bakteriotsinlar,bak-te-ri-ot-sin-lar
bakterioxlorofillar,bak-te-ri-ox-lo-ro-fil-lar
bakteriozlar,bak-te-ri-oz-lar
bakteritsid,bak-te-rit-sid
bakteritsidlar,bak-te-rit-sid-lar
bakteritsidlik,bak-te-rit-sid-lik
bakteriuriya,bak-te-ri-u-ri-ya
bakteriya,bak-te-ri-ya
bakteriyali,bak-te-ri-ya-li
bakteriyasiz,bak-te-ri-ya-siz
bakteroidlar,bak-te-ro-id-lar
baktrim,bakt-rim
bakuch,ba-kuch
bakuchlik,ba-kuch-lik
bakulit,ba-ku-lit
bakxiy,bak-xiy
bal,bal
bal-maskarad,bal-mas-ka-rad
balabon,ba-la-bon
balabonchi,ba-la-bon-chi
balabonchilik,ba-la-bon-chi-lik
baladiya,ba-la-di-ya
balalayka,ba-la-lay-ka
balalaykachi,ba-la-lay-ka-chi
baland,ba-land
baland-baland,ba-la-nd-ba-land
baland-past,ba-la-nd-past
baland-pastlik,ba-la-nd-past-lik
balandbo‘y,ba-land-bo‘y
balandbo‘ylik,ba-land-bo‘y-lik
balanddimog‘,ba-land-di-mog‘
balandlamoq,ba-land-la-moq
balandlashganlik,ba-land-lash-gan-lik
balandlashish,ba-land-la-shish
balandlashmoq,ba-land-lash-moq
balandlashuv,ba-land-la-shuv
balandlatish,ba-land-la-tish
balandlatmoq,ba-land-lat-moq
balandlatuv,ba-land-la-tuv
balandlik,ba-land-lik
balandlik-pastlik,ba-land-lik-past-lik
balandliko‘lchagich,ba-land-li-ko‘l-cha-gich
balandparvoz,ba-land-par-voz
balandparvozlik,ba-land-par-voz-lik
balandparvozona,ba-land-par-vo-zo-na
balandtovon,ba-land-to-von
balanit,ba-la-nit
balanofora,ba-la-no-fo-ra
balanoforadoshlar,ba-la-no-fo-ra-dosh-lar
balanoglosslar,ba-la-nog-loss-lar
balanomorf,ba-la-no-morf
balanopostit,ba-la-no-pos-tit
balanorragiya,ba-la-nor-ra-gi-ya
balanotsele,ba-la-not-se-le
balans,ba-lans
balansir,ba-lan-sir
balansirovka,ba-lan-si-rov-ka
balanslamoq,ba-lans-la-moq
balanslanmoq,ba-lans-lan-moq
