word,syllables,count_syllables
10010,10-010,2
1001,10-01,2
100101,10-01-01,3
100101010,10-01-01-010,4
1001010010,10-01-010-010,4
1001,10-01,2
10010,10-010,2
1001010,10-01-010,3
1001010-01001010,10-01-010-010-01-010,6
10010,10-010,2
10010,10-010,2
10010,10-010,2
100101010,10-01-01-010,4
10010010,10-010-010,3
1001,10-01,2
1001010,10-01-010,3
10,10,1
10010,10-010,2
1010,1-010,2
101010,1-01-010,3
101010-01010,1-01-010-01-010,5
1010101,1-01-01-01,4
10101010,1-01-01-010,4
10101010,1-01-01-010,4
101010010,1-01-010-010,4
101010010010,1-01-010-010-010,5
10101001001010010,1-01-010-010-01-010-010,7
10101001001010,1-01-010-010-01-010,6
101010010010010,1-01-010-010-010-010,6
10101001001010,1-01-010-010-01-010,6
1010100100101001,1-01-010-010-01-010-01,7
10101001010,1-01-010-01-010,5
101010010,1-01-010-010,4
10101010,1-01-01-010,4
1010101010,1-01-01-01-010,5
101010,1-01-010,3
10101001,1-01-010-01,4
101010010010,1-01-010-010-010,5
1010,1-010,2
10101,1-01-01,3
10100110,1-010-01-10,4
1010010110,1-010-01-01-10,5
10101010100101,1-01-01-01-010-01-01,7
1010010,1-010-010,3
1010,1-010,2
10101010,1-01-01-010,4
1010101,1-01-01-01,4
10010,10-010,2
1001010,10-01-010,3
1001010010,10-01-010-010,4
1000101100101,100-01-01-10-01-01,6
100010110101,100-01-01-1-01-01,6
100,100,1
10010,10-010,2
10010100101,10-01-010-01-01,5
10010,10-010,2
10010010,10-010-010,3
10010010,10-010-010,3
1001010,10-01-010,3
100101010,10-01-01-010,4
100101010010101,10-01-01-010-01-01-01,7
100100101,10-010-01-01,4
10010010,10-010-010,3
1010101,1-01-01-01,4
10100100110,1-010-010-01-10,5
10100100101,1-010-010-01-01,5
10010,10-010,2
10010-1001001,10-010-10-010-01,5
100101,10-01-01,3
10010010010010,10-010-01-0010-010,5
1001001010,10-010-01-010,4
10010010010,10-010-010-010,4
1001001010,10-010-01-010,4
10010010,10-010-010,3
10010,10-010,2
1011010,1-01-1-010,4
101101010,1-01-1-01-010,5
1011010,1-01-1-010,4
10110010101,1-01-10-01-01-01,6
10110,1-01-10,3
1010,1-010,2
10101,1-01-01,3
101010010,1-01-010-010,4
1010010,1-010-010,3
101001010,1-010-01-010,4
10100101010010,1-010-01-01-010-010,6
10101010100,1-01-01-01-0100,5
10101010100010,1-01-01-01-0100-010,6
101010,1-01-010,3
10010,10-010,2
100100010010,10-0100-010-010,4
10010010,10-010-010,3
10010010010,10-010-010-010,4
10010,10-010,2
10010-10010,10-010-10-010,4
1001001010,10-010-01-010,4
10010010010,10-010-010-010,4
1001001010,10-010-01-010,4
10010,10-010,2
1001001010,10-010-01-010,4
10010010010,10-010-010-010,4
10010010010,10-010-010-010,4
10010010,10-010-010,3
10010101,10-01-01-01,4
100100,10-0100,2
1001001,10-010-01,3
10010,10-010,2
1001001001,10-010-010-01,4
10010010010,10-010-010-010,4
10010010,10-010-010,3
100100101,10-010-01-01,4
10010101,10-01-01-01,4
100100101001,10-010-01-010-01,5
10010,10-010,2
100100101,10-010-01-01,4
1001010101,10-01-01-01-01,5
10001010,100-01-010,3
1000100101,100-010-01-01,4
101,1-01,2
101010,1-01-010,3
1010100110100,1-01-010-01-1-0100,6
1010100110100,1-01-010-01-1-0100,6
1010100101,1-01-010-01-01,5
101010100,1-01-01-0100,4
1010100,1-01-0100,3
1010100010,1-01-0100-010,4
1010010,1-010-010,3
10101010,1-01-01-010,4
10101010010,1-01-01-010-010,5
10100,1-0100,2
1010010,1-010-010,3
100,100,1
10010,10-010,2
10010110,10-01-01-10,4
1001010,10-01-010,3
1001010,10-01-010,3
1001010010,10-01-010-010,4
10010101,10-01-01-01,4
1000100,100-0100,2
100010001,100-0100-01,3
100010001010,100-0100-01-010,4
10001001,100-010-01,3
1000100010,100-0100-010,3
10001000101,100-0100-01-01,4
10010010,10-010-010,3
1001101010,10-01-1-01-010,5
10010,10-010,2
1001010,10-01-010,3
10010100100,10-01-010-0100,4
10010101,10-01-01-01,4
10010100101,10-01-010-01-01,5
10010,10-010,2
10010,10-010,2
1001001010,10-010-01-010,4
100100,10-0100,2
1001001100,10-010-01-100,4
1001001100,10-010-01-100,4
10010,10-010,2
10010010,10-010-010,3
1001001001,10-010-010-01,4
10010010100,10-010-01-0100,4
10010010,10-010-010,3
100100100,10-010-0100,3
10010010,10-010-010,3
10010001010,10-0100-01-010,4
10010001010,10-0100-01-010,4
100100010,10-0100-010,3
10010001001,10-0100-010-01,4
1001000110100,10-0100-01-1-0100,5
1001000110100101,10-0100-01-1-010-01-01,7
1001000110,10-0100-01-10,4
1001000101,10-0100-01-01,4
1001000101010,10-0100-01-01-010,5
1000100,100-0100,2
10001000101001,100-0100-01-010-01,5
10001001,100-010-01,3
100010100101,100-01-010-01-01,5
100010100,100-01-0100,3
10000100110100,10-00010-01-1-0100,5
1000010011010010,10-00010-01-1-010-010,6
10000100110100,10-00010-01-1-0100,5
10000100101,10-00010-01-01,4
10000100101010,10-00010-01-01-010,5
10000100,10-000100,2
1000010001010,10-000100-01-010,4
10000100010010,10-000100-010-010,4
10000100010,10-000100-010,3
1000010001010,10-000100-01-010,4
1000010001001010010,10-000100-010-01-010-010,6
1000010001001010,10-000100-010-01-010,5
10000100010010010,10-000100-010-010-010,5
1000010001001010,10-000100-010-01-010,5
10000100010,10-000100-010,3
100100,10-0100,2
10010,10-010,2
10010010,10-010-010,3
101,1-01,2
101001,1-010-01,3
10010,10-010,2
10010,10-010,2
1001001,10-010-01,3
100100101010,10-010-01-01-010,5
100100101001010,10-010-01-010-01-010,6
10010101010,10-01-01-01-010,5
10010010,10-010-010,3
10010,10-010,2
10010,10-010,2
1001001010,10-010-01-010,4
10010010010,10-010-010-010,4
10010010,10-010-010,3
10010010,10-010-010,3
